generation 10000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
TimeSizeRateMixer	26950	59966	6	0.113208	0.0188508	
TimeRootSizeMixer	33874	52605	6	0.113208	0.0332174	
EventTimeScaler	129783	202661	1	0.0188679	0.0547628	
MutationRateScaler0	10354	18887	1	0.0188679	0.0348975	
RootPopulationSizeScaler0	12315	17019	1	0.0188679	0.0593407	
LeafPopulationSizeScaler0	12435	16859	1	0.0188679	0.043202	
MutationRateScaler1	1392	27853	1	0.0188679	0.00847916	
RootPopulationSizeScaler1	10394	18812	1	0.0188679	0.0679286	
LeafPopulationSizeScaler1	2507	26751	1	0.0188679	0.00517467	
MutationRateScaler2	10160	19146	1	0.0188679	0.0420509	
RootPopulationSizeScaler2	11214	18118	1	0.0188679	0.0665937	
LeafPopulationSizeScaler2	11901	17301	1	0.0188679	0.0547372	
MutationRateScaler3	10782	18463	1	0.0188679	0.0469659	
RootPopulationSizeScaler3	12393	16861	1	0.0188679	0.0676782	
LeafPopulationSizeScaler3	12609	16665	1	0.0188679	0.0623281	
MutationRateScaler4	7433	21825	1	0.0188679	0.0288119	
RootPopulationSizeScaler4	10268	19017	1	0.0188679	0.0504933	
LeafPopulationSizeScaler4	9984	19290	1	0.0188679	0.0292384	
MutationRateScaler5	9921	19378	1	0.0188679	0.040178	
RootPopulationSizeScaler5	11223	18195	1	0.0188679	0.0591467	
LeafPopulationSizeScaler5	12652	16654	1	0.0188679	0.0490564	
MutationRateScaler6	1608	27635	1	0.0188679	0.00969735	
RootPopulationSizeScaler6	10687	18636	1	0.0188679	0.0432492	
LeafPopulationSizeScaler6	4404	24907	1	0.0188679	0.00375388	
MutationRateScaler7	93	29276	1	0.0188679	0.00577183	
RootPopulationSizeScaler7	10573	18690	1	0.0188679	0.0557124	
LeafPopulationSizeScaler7	206	29125	1	0.0188679	0.00318204	
MutationRateScaler8	6826	22415	1	0.0188679	0.0246911	
RootPopulationSizeScaler8	10433	18860	1	0.0188679	0.0518477	
LeafPopulationSizeScaler8	10351	18904	1	0.0188679	0.0173433	
generation 130000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	24452	0	10	0.188679	none	
ConcentrationScaler	3661	3736	3	0.0566038	2.00587	
TimeSizeRateMixer	29207	64613	6	0.113208	0.0186894	
TimeRootSizeMixer	36787	56928	6	0.113208	0.033117	
EventTimeScaler	140787	218900	1	0.0188679	0.0546058	
MutationRateScaler0	11258	20432	1	0.0188679	0.034698	
RootPopulationSizeScaler0	13353	18431	1	0.0188679	0.0592913	
LeafPopulationSizeScaler0	13473	18248	1	0.0188679	0.0431438	
MutationRateScaler1	1596	30072	1	0.0188679	0.0082405	
RootPopulationSizeScaler1	11350	20321	1	0.0188679	0.0675954	
LeafPopulationSizeScaler1	2802	28883	1	0.0188679	0.00504352	
MutationRateScaler2	11072	20651	1	0.0188679	0.0418436	
RootPopulationSizeScaler2	12222	19559	1	0.0188679	0.0664356	
LeafPopulationSizeScaler2	12912	18733	1	0.0188679	0.0546634	
MutationRateScaler3	11776	19889	1	0.0188679	0.0468538	
RootPopulationSizeScaler3	13416	18275	1	0.0188679	0.067547	
LeafPopulationSizeScaler3	13689	18000	1	0.0188679	0.0622722	
MutationRateScaler4	8129	23569	1	0.0188679	0.0284747	
RootPopulationSizeScaler4	11176	20525	1	0.0188679	0.0502292	
